Tag Number,Species,DBH,Height,Flower,Seed,Fruit,X coordinate,Y coordinate,POM(cm)
5173,Conocarpus erectus (Boton wood ),12.5,1080,n,n,n,-88.33688,18.04154,2
5174,Manilkara chicle (Sapodilla),11.6,1010,n,y,y,-88.33688,18.04154,3
5175,Conocarpus erectus (Boton wood ),13.2,1150,n,n,n,-88.33688,18.04156,5
5176,Conocarpus erectus (Boton wood ),8.4,790,n,n,n,-88.33688,18.04156,6
5177,Conocarpus erectus (Boton wood ),10.8,950,n,n,n,-88.33685,18.04158,7.5
5178,Manilkara chicle (Sapodilla),10,900,n,y,y,-88.33682,18.04157,8.9
5179,Metopium brownei (Black poision wood),16.4,1430,y,y,y,-88.33682,18.04156,10.3
5180,Diospirus salcifolia (cyril),7.8,750,n,n,n,-88.33684,18.04156,11.7
5181,Bursera simaruba (Red gumbolimbo),25,2080,n,y,y,-88.33681,18.04155,13.1
5182,Coccothrinax argentata (Silver palm),8.3,780,n,n,n,-88.33688,18.04154,14.5
5183,Conocarpus erectus (Boton wood ),28,2310,n,n,n,-88.33685,18.04154,15.9
5184,Coccoloba diversifolia (Bob small leaf),8.9,820,n,y,y,-88.33683,18.04153,17.3
5185,Uknown (Unknown),26,2180,n,n,n,-88.33682,18.04148,18.7
5186,Coccoloba diversifolia (Bob small leaf),10.8,950,n,n,n,-88.33678,18.04152,20.1
5187,Erythoxylum guatemalensis (Chokche),50,3660,n,n,n,-88.33679,18.04153,21.5
5188,Metopium brownei (Black poision wood),21.5,1850,n,n,n,-88.33676,18.04148,22.9
5189,Coccothrinax argentata (Silver palm),8.5,800,n,n,n,-88.33681,18.04143,24.3
5190,Coccoloba diversifolia (Bob small leaf),8.9,820,n,n,n,-88.33685,18.04151,25.7
5191,Bursera simaruba (Red gumbolimbo),8.3,780,n,n,n,-88.33687,18.04148,27.1
5192,Bucida buceras (Bullet tree),14.7,1320,y,y,y,-88.33686,18.04164,28.5
5193,Sebastiana tuerckheimiana (White poision wood),9.2,840,n,n,n,-88.33689,18.04168,29.9
5194,Bucida buceras (Bullet tree),14.7,1320,y,y,y,-88.33687,18.04163,31.3
5195,Bucida buceras (Bullet tree),19.3,1670,y,y,y,-88.33681,18.04167,32.7
5196,Dead wood (CLASS 2),11,970,n,n,n,-88.33672,18.04165,34.1
5197,Coccoloba belizensis (Grande betty),10.3,920,n,n,n,-88.33668,18.04165,35.5
5198,Sebastiana tuerckheimiana (White poision wood),8,770,n,n,n,-88.33672,18.04159,36.9
5199,Erythoxylum guatemalensis (Chokche),7.5,7.32,n,n,n,-88.33667,18.04147,38.3
5200,Dead wood (CLASS 2),11.4,101,n,n,n,-88.33663,18.04149,39.7
5201,Astronium graveolens (Jobillo),25,2080,n,n,n,-88.33663,18.04149,41.1
1232,Dead wood (CLASS 2),21,1810,n,n,n,-88.33663,18.04149,42.5
1233,Dead wood (CLASS 2),12,1050,n,n,n,-88.33663,18.04149,43.9
1234,Brossimium alicastrum (Ramon),1O.4,1000,n,y,y,-88.33683,18.03153,57.3
